vessel_id,vessel_type_new,timestamp,timestamp_epoch,latitude,longitude,speed_knots,in_anchorage,in_port_boundary,safety_score,dwt,fuel_category,main_engine_fuel_type,aux_engine_fuel_type,boil_engine_fuel_type,engine_type,mep,vref,sfc_me,sfc_ae,sfc_ab,ael,abl,movement_mode,activity_hours,max_speed,load_factor,sfc_adjusted_me,sfc_adjusted_ae,sfc_adjusted_ab,me_fual_consumption(tonnes),ae_fual_consumption(tonnes),ab_fual_consumption(tonnes)
10498900,Chemical/Products Tanker,2025-03-29 19:02:27+00:00,1743274947,1.331666667,104.66,12.59,,Singapore,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Maneuver,0.0,14.103180000000002,0.71,336.23567839195977,209.1,300.0,0.0,0.0,0.0
10498900,Chemical/Products Tanker,2025-03-29 20:02:27+00:00,1743278547,1.28,104.8616667,12.47,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0,14.103180000000002,0.69,336.23567839195977,209.1,300.0,1.1716132213567838,0.1559886,0.0375
10498900,Chemical/Products Tanker,2025-03-29 21:02:28+00:00,1743282148,1.155,105.0266667,12.55,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0002777777777778,14.103180000000002,0.7,336.23567839195977,209.1,300.0,1.1889232878719986,0.1560319301666667,0.03751041666666667
10498900,Chemical/Products Tanker,2025-03-29 22:02:25+00:00,1743285745,1.015,105.18,12.47,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9991666666666666,14.103180000000002,0.69,336.23567839195977,209.1,300.0,1.170636877005653,0.1558586095,0.03746875
10498900,Chemical/Products Tanker,2025-03-29 23:02:27+00:00,1743289347,0.865,105.3233333,12.52,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0005555555555556,14.103180000000002,0.7,336.23567839195977,209.1,300.0,1.1892534526284197,0.15607526033333333,0.03752083333333334
10498900,Chemical/Products Tanker,2025-03-30 00:02:27+00:00,1743292947,0.743333333,105.49,11.95,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0,14.103180000000002,0.61,336.23567839195977,209.1,300.0,1.035774007286432,0.1559886,0.0375
10498900,Chemical/Products Tanker,2025-03-30 01:02:29+00:00,1743296549,0.623333333,105.6483333,12.17,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0005555555555556,14.103180000000002,0.64,336.23567839195977,209.1,300.0,1.0873174424031267,0.15607526033333333,0.03752083333333334
10498900,Chemical/Products Tanker,2025-03-30 02:08:28+00:00,1743300508,0.466666667,105.81,12.45,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0997222222222225,14.103180000000002,0.69,336.23567839195977,209.1,300.0,1.2884490953754189,0.17154412983333336,0.04123958333333334
10498900,Chemical/Products Tanker,2025-03-30 03:08:28.076000+00:00,1743304108,0.303333333,105.9366667,11.99,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.000021111111111,14.103180000000002,0.61,336.23567839195977,209.1,300.0,1.0357958736265858,0.15599189309266667,0.037500791666666665
10498900,Chemical/Products Tanker,2025-03-30 04:02:28+00:00,1743307348,0.185,106.0733333,12.02,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.8999788888888889,14.103180000000002,0.62,336.23567839195977,209.1,300.0,0.9474562933359568,0.14038644690733332,0.033749208333333336
10498900,Chemical/Products Tanker,2025-03-30 05:02:27+00:00,1743310947,0.05,106.22,11.78,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9997222222222222,14.103180000000002,0.58,336.23567839195977,209.1,300.0,0.9845607369261584,0.15594526983333332,0.037489583333333326
10498900,Chemical/Products Tanker,2025-03-30 06:02:32+00:00,1743314552,-0.085,106.3616667,11.97,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0013888888888889,14.103180000000002,0.61,336.23567839195977,209.1,300.0,1.037212582296552,0.15620525083333334,0.03755208333333333
10498900,Chemical/Products Tanker,2025-03-30 07:05:26+00:00,1743318326,-0.228333333,106.515,12.16,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0483333333333331,14.103180000000002,0.64,336.23567839195977,209.1,300.0,1.1392382086700164,0.16352804899999998,0.03931249999999999
10498900,Chemical/Products Tanker,2025-03-30 08:02:31+00:00,1743321751,-0.356666667,106.6583333,12.03,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9513888888888888,14.103180000000002,0.62,336.23567839195977,209.1,300.0,1.0015783717999718,0.14840582083333334,0.03567708333333333
10498900,Chemical/Products Tanker,2025-03-30 09:05:27+00:00,1743325527,-0.501666667,106.8133333,12.29,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.048888888888889,14.103180000000002,0.66,336.23567839195977,209.1,300.0,1.1754619990887771,0.16361470933333336,0.03933333333333334
10498900,Chemical/Products Tanker,2025-03-30 10:02:26+00:00,1743328946,-0.636666667,106.9533333,12.26,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9497222222222222,14.103180000000002,0.66,336.23567839195977,209.1,300.0,1.0643285420774706,0.14814583983333332,0.03561458333333334
10498900,Chemical/Products Tanker,2025-03-30 11:02:31+00:00,1743332551,-0.773333333,107.105,12.11,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0013888888888889,14.103180000000002,0.63,336.23567839195977,209.1,300.0,1.0712195522079144,0.15620525083333334,0.03755208333333333
10498900,Chemical/Products Tanker,2025-03-30 12:02:29+00:00,1743336149,-0.911666667,107.2516667,12.14,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9994444444444444,14.103180000000002,0.64,336.23567839195977,209.1,300.0,1.0861099827225011,0.15590193966666668,0.03747916666666667
10498900,Chemical/Products Tanker,2025-03-30 13:08:26+00:00,1743340106,-1.063333333,107.4133333,12.25,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0991666666666666,14.103180000000002,0.66,336.23567839195977,209.1,300.0,1.2318069730917083,0.17145746950000001,0.04121875
10498900,Chemical/Products Tanker,2025-03-30 14:02:27.759000+00:00,1743343347,-1.18,107.5566667,12.28,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9004886111111111,14.103180000000002,0.66,336.23567839195977,209.1,300.0,1.0091537380042466,0.14046595776316667,0.03376832291666666
10498900,Chemical/Products Tanker,2025-03-30 15:05:29+00:00,1743347129,-1.333333333,107.7066667,12.31,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0503447222222222,14.103180000000002,0.67,336.23567839195977,209.1,300.0,1.1949282631454716,0.16384180273683335,0.039387927083333336
10498900,Chemical/Products Tanker,2025-03-30 16:02:26+00:00,1743350546,-1.468333333,107.8433333,12.04,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9491666666666668,14.103180000000002,0.62,336.23567839195977,209.1,300.0,0.9992389186687605,0.14805917950000003,0.03559375000000001
10498900,Chemical/Products Tanker,2025-03-30 17:17:29+00:00,1743355049,-1.636666667,108.0283333,12.04,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.2508333333333332,14.103180000000002,0.62,336.23567839195977,209.1,300.0,1.3168196812307367,0.1951157405,0.04690625
10498900,Chemical/Products Tanker,2025-03-30 18:02:29+00:00,1743357749,-1.736666667,108.14,11.76,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.75,14.103180000000002,0.58,336.23567839195977,209.1,300.0,0.7386257265075377,0.11699145000000001,0.028125
10498900,Chemical/Products Tanker,2025-03-30 19:02:28+00:00,1743361348,-1.875,108.28,11.86,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9997222222222222,14.103180000000002,0.59,336.23567839195977,209.1,300.0,1.001535922045575,0.15594526983333332,0.037489583333333326
10498900,Chemical/Products Tanker,2025-03-30 20:02:29+00:00,1743364949,-2.021666667,108.415,12.05,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0002777777777778,14.103180000000002,0.62,336.23567839195977,209.1,300.0,1.0530463406866275,0.1560319301666667,0.03751041666666667
10498900,Chemical/Products Tanker,2025-03-30 21:05:25+00:00,1743368725,-2.156666667,108.5733333,12.06,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.048888888888889,14.103180000000002,0.63,336.23567839195977,209.1,300.0,1.1220319082211054,0.16361470933333336,0.03933333333333334
10498900,Chemical/Products Tanker,2025-03-30 22:05:27+00:00,1743372327,-2.276666667,108.7333333,12.02,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0005555555555556,14.103180000000002,0.62,336.23567839195977,209.1,300.0,1.053338772328029,0.15607526033333333,0.03752083333333334
10498900,Chemical/Products Tanker,2025-03-30 23:08:31+00:00,1743376111,-2.391666667,108.91,12.15,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.051111111111111,14.103180000000002,0.64,336.23567839195977,209.1,300.0,1.14225685787158,0.16396135066666667,0.03941666666666666
10498900,Chemical/Products Tanker,2025-03-31 00:08:30+00:00,1743379710,-2.516666667,109.0683333,12.19,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9997222222222222,14.103180000000002,0.65,336.23567839195977,209.1,300.0,1.103387032762074,0.15594526983333332,0.037489583333333326
10498900,Chemical/Products Tanker,2025-03-31 01:02:26+00:00,1743382946,-2.646666667,109.2,13.59,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.8988888888888888,14.103180000000002,0.89,336.23567839195977,209.1,300.0,1.3584110072610274,0.14021641933333331,0.033708333333333326
10498900,Chemical/Products Tanker,2025-03-31 02:08:29+00:00,1743386909,-2.821666667,109.3833333,13.77,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.100833333333333,14.103180000000002,0.93,336.23567839195977,209.1,300.0,1.7383598923109294,0.17171745049999998,0.04128124999999999
10498900,Chemical/Products Tanker,2025-03-31 03:02:27.817000+00:00,1743390147,-2.951666667,109.54,11.34,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.8996713888888889,14.103180000000002,0.52,336.23567839195977,209.1,300.0,0.7943692535236149,0.14033848041283334,0.033737677083333334
10498900,Chemical/Products Tanker,2025-03-31 04:11:28+00:00,1743394288,-3.098333333,109.725,12.56,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.1500508333333332,14.103180000000002,0.71,336.23567839195977,209.1,300.0,1.3864702619009583,0.17939481942049998,0.04312690625
10498900,Chemical/Products Tanker,2025-03-31 05:08:26+00:00,1743397706,-3.261666667,109.8416667,12.85,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9494444444444444,14.103180000000002,0.76,336.23567839195977,209.1,300.0,1.2252319777995533,0.1481025096666667,0.035604166666666666
10498900,Chemical/Products Tanker,2025-03-31 06:02:29+00:00,1743400949,-3.411666667,109.965,12.97,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9008333333333334,14.103180000000002,0.78,336.23567839195977,209.1,300.0,1.193092797081658,0.1405197305,0.03378125
10498900,Chemical/Products Tanker,2025-03-31 07:02:28+00:00,1743404548,-3.578333333,110.1016667,12.9,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9997222222222222,14.103180000000002,0.77,336.23567839195977,209.1,300.0,1.3070892541950725,0.15594526983333332,0.037489583333333326
10498900,Chemical/Products Tanker,2025-03-31 08:02:26+00:00,1743408146,-3.721666667,110.26,12.86,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9994444444444444,14.103180000000002,0.76,336.23567839195977,209.1,300.0,1.28975560448297,0.15590193966666668,0.03747916666666667
10498900,Chemical/Products Tanker,2025-03-31 09:02:29+00:00,1743411749,-3.835,110.4416667,12.42,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0008333333333332,14.103180000000002,0.68,336.23567839195977,209.1,300.0,1.1555955140309884,0.1561185905,0.03753125
10498900,Chemical/Products Tanker,2025-03-31 10:05:27+00:00,1743415527,-3.955,110.6216667,12.4,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,1.0494444444444444,14.103180000000002,0.68,336.23567839195977,209.1,300.0,1.2117235226225573,0.16370136966666665,0.03935416666666666
10498900,Chemical/Products Tanker,2025-03-31 11:02:26+00:00,1743418946,-4.063333333,110.785,12.26,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit,0.9497222222222222,14.103180000000002,0.66,336.23567839195977,209.1,300.0,1.0643285420774706,0.14814583983333332,0.03561458333333334
